Month,Day,Year,Start (ET),Visitor,Visitor PTS,Home,Home PTS,Score,,Notes
Tue Mar 6 2018,10:00 pm,New York Knicks,,Portland Trail Blazers,,,,
Tue Mar 6 2018,7:00 pm,Atlanta Hawks,,Toronto Raptors,,,,
Tue Mar 6 2018,7:00 pm,Miami Heat,,Washington Wizards,,,,
Wed Mar 7 2018,8:00 pm,Memphis Grizzlies,,Chicago Bulls,,,,
Wed Mar 7 2018,10:30 pm,Cleveland Cavaliers,,Denver Nuggets,,,,
Wed Mar 7 2018,8:00 pm,Toronto Raptors,,Detroit Pistons,,,,
Wed Mar 7 2018,7:00 pm,Utah Jazz,,Indiana Pacers,,,,
Wed Mar 7 2018,10:30 pm,Orlando Magic,,Los Angeles Lakers,,,,
Wed Mar 7 2018,8:00 pm,Houston Rockets,,Milwaukee Bucks,,,,
Wed Mar 7 2018,10:00 pm,New Orleans Pelicans,,Sacramento Kings,,,,
Thu Mar 8 2018,7:00 pm,Brooklyn Nets,,Charlotte Hornets,,,,
Thu Mar 8 2018,10:30 pm,San Antonio Spurs,,Golden State Warriors,,,,
Thu Mar 8 2018,7:30 pm,Philadelphia 76ers,,Miami Heat,,,,
Thu Mar 8 2018,8:00 pm,Boston Celtics,,Minnesota Timberwolves,,,,
Thu Mar 8 2018,8:00 pm,Phoenix Suns,,Oklahoma City Thunder,,,,
Fri Mar 9 2018,9:00 pm,Los Angeles Lakers,,Denver Nuggets,,,,
Fri Mar 9 2018,7:00 pm,Chicago Bulls,,Detroit Pistons,,,,
Fri Mar 9 2018,7:00 pm,Atlanta Hawks,,Indiana Pacers,,,,
Fri Mar 9 2018,10:30 pm,Cleveland Cavaliers,,Los Angeles Clippers,,,,
Fri Mar 9 2018,8:00 pm,Utah Jazz,,Memphis Grizzlies,,,,
Fri Mar 9 2018,8:00 pm,New York Knicks,,Milwaukee Bucks,,,,
Fri Mar 9 2018,8:00 pm,Washington Wizards,,New Orleans Pelicans,,,,
Fri Mar 9 2018,10:00 pm,Golden State Warriors,,Portland Trail Blazers,,,,
Fri Mar 9 2018,10:00 pm,Orlando Magic,,Sacramento Kings,,,,
Fri Mar 9 2018,7:30 pm,Houston Rockets,,Toronto Raptors,,,,
Sat Mar 10 2018,5:00 pm,Phoenix Suns,,Charlotte Hornets,,,,
Sat Mar 10 2018,8:30 pm,Memphis Grizzlies,,Dallas Mavericks,,,,
Sat Mar 10 2018,10:30 pm,Orlando Magic,,Los Angeles Clippers,,,,
Sat Mar 10 2018,7:30 pm,Washington Wizards,,Miami Heat,,,,
Sat Mar 10 2018,8:30 pm,San Antonio Spurs,,Oklahoma City Thunder,,,,
Sun Mar 11 2018,3:30 pm,Chicago Bulls,,Atlanta Hawks,,,,
Sun Mar 11 2018,7:30 pm,Indiana Pacers,,Boston Celtics,,,,
Sun Mar 11 2018,7:30 pm,Philadelphia 76ers,,Brooklyn Nets,,,,
Sun Mar 11 2018,7:00 pm,Houston Rockets,,Dallas Mavericks,,,,
Sun Mar 11 2018,5:00 pm,Sacramento Kings,,Denver Nuggets,,,,
Sun Mar 11 2018,9:00 pm,Cleveland Cavaliers,,Los Angeles Lakers,,,,
Sun Mar 11 2018,3:30 pm,Golden State Warriors,,Minnesota Timberwolves,,,,
Sun Mar 11 2018,4:00 pm,Utah Jazz,,New Orleans Pelicans,,,,
Sun Mar 11 2018,1:00 pm,Toronto Raptors,,New York Knicks,,,,
Mon Mar 12 2018,8:00 pm,San Antonio Spurs,,Houston Rockets,,,,
Mon Mar 12 2018,8:00 pm,Milwaukee Bucks,,Memphis Grizzlies,,,,
Mon Mar 12 2018,8:00 pm,Sacramento Kings,,Oklahoma City Thunder,,,,
Mon Mar 12 2018,10:30 pm,Miami Heat,,Portland Trail Blazers,,,,
Tue Mar 13 2018,7:30 pm,Oklahoma City Thunder,,Atlanta Hawks,,,,
Tue Mar 13 2018,7:30 pm,Toronto Raptors,,Brooklyn Nets,,,,
Tue Mar 13 2018,8:00 pm,Los Angeles Clippers,,Chicago Bulls,,,,
Tue Mar 13 2018,10:30 pm,Denver Nuggets,,Los Angeles Lakers,,,,
Tue Mar 13 2018,8:00 pm,Charlotte Hornets,,New Orleans Pelicans,,,,
Tue Mar 13 2018,7:30 pm,Dallas Mavericks,,New York Knicks,,,,
Tue Mar 13 2018,7:00 pm,Indiana Pacers,,Philadelphia 76ers,,,,
Tue Mar 13 2018,10:00 pm,Cleveland Cavaliers,,Phoenix Suns,,,,
Tue Mar 13 2018,8:30 pm,Orlando Magic,,San Antonio Spurs,,,,
Tue Mar 13 2018,9:00 pm,Detroit Pistons,,Utah Jazz,,,,
Tue Mar 13 2018,7:00 pm,Minnesota Timberwolves,,Washington Wizards,,,,
Wed Mar 14 2018,8:00 pm,Washington Wizards,,Boston Celtics,,,,
Wed Mar 14 2018,10:30 pm,Los Angeles Lakers,,Golden State Warriors,,,,
Wed Mar 14 2018,7:00 pm,Milwaukee Bucks,,Orlando Magic,,,,
Wed Mar 14 2018,10:00 pm,Miami Heat,,Sacramento Kings,,,,
Thu Mar 15 2018,7:30 pm,Charlotte Hornets,,Atlanta Hawks,,,,
Thu Mar 15 2018,9:00 pm,Detroit Pistons,,Denver Nuggets,,,,
Thu Mar 15 2018,8:00 pm,Los Angeles Clippers,,Houston Rockets,,,,
Thu Mar 15 2018,7:00 pm,Toronto Raptors,,Indiana Pacers,,,,
Thu Mar 15 2018,8:00 pm,Chicago Bulls,,Memphis Grizzlies,,,,
Thu Mar 15 2018,7:30 pm,Philadelphia 76ers,,New York Knicks,,,,
Thu Mar 15 2018,10:00 pm,Cleveland Cavaliers,,Portland Trail Blazers,,,,
Thu Mar 15 2018,8:30 pm,New Orleans Pelicans,,San Antonio Spurs,,,,
Thu Mar 15 2018,9:00 pm,Phoenix Suns,,Utah Jazz,,,,
Fri Mar 16 2018,10:30 pm,Sacramento Kings,,Golden State Warriors,,,,
Fri Mar 16 2018,10:30 pm,Miami Heat,,Los Angeles Lakers,,,,
Fri Mar 16 2018,8:00 pm,Los Angeles Clippers,,Oklahoma City Thunder,,,,
Fri Mar 16 2018,7:00 pm,Boston Celtics,,Orlando Magic,,,,
Fri Mar 16 2018,7:00 pm,Brooklyn Nets,,Philadelphia 76ers,,,,
Fri Mar 16 2018,7:30 pm,Dallas Mavericks,,Toronto Raptors,,,,
Sat Mar 17 2018,7:30 pm,Dallas Mavericks,,Brooklyn Nets,,,,
Sat Mar 17 2018,8:00 pm,Cleveland Cavaliers,,Chicago Bulls,,,,
Sat Mar 17 2018,8:00 pm,Denver Nuggets,,Memphis Grizzlies,,,,
Sat Mar 17 2018,8:30 pm,Atlanta Hawks,,Milwaukee Bucks,,,,
Sat Mar 17 2018,7:00 pm,Houston Rockets,,New Orleans Pelicans,,,,
Sat Mar 17 2018,7:30 pm,Charlotte Hornets,,New York Knicks,,,,
Sat Mar 17 2018,10:00 pm,Golden State Warriors,,Phoenix Suns,,,,
Sat Mar 17 2018,10:00 pm,Detroit Pistons,,Portland Trail Blazers,,,,
Sat Mar 17 2018,8:30 pm,Minnesota Timberwolves,,San Antonio Spurs,,,,
Sat Mar 17 2018,9:00 pm,Sacramento Kings,,Utah Jazz,,,,
Sat Mar 17 2018,7:00 pm,Indiana Pacers,,Washington Wizards,,,,
Sun Mar 18 2018,10:30 pm,Portland Trail Blazers,,Los Angeles Clippers,,,,
Sun Mar 18 2018,7:00 pm,Houston Rockets,,Minnesota Timberwolves,,,,
Sun Mar 18 2018,6:00 pm,Boston Celtics,,New Orleans Pelicans,,,,
Sun Mar 18 2018,1:00 pm,Oklahoma City Thunder,,Toronto Raptors,,,,
Mon Mar 19 2018,7:30 pm,Memphis Grizzlies,,Brooklyn Nets,,,,
Mon Mar 19 2018,7:00 pm,Milwaukee Bucks,,Cleveland Cavaliers,,,,
Mon Mar 19 2018,7:00 pm,Los Angeles Lakers,,Indiana Pacers,,,,
Mon Mar 19 2018,7:30 pm,Denver Nuggets,,Miami Heat,,,,
Mon Mar 19 2018,7:30 pm,Chicago Bulls,,New York Knicks,,,,
Mon Mar 19 2018,7:00 pm,Charlotte Hornets,,Philadelphia 76ers,,,,
Mon Mar 19 2018,10:00 pm,Detroit Pistons,,Sacramento Kings,,,,
Mon Mar 19 2018,9:30 pm,Golden State Warriors,,San Antonio Spurs,,,,
Tue Mar 20 2018,8:00 pm,Oklahoma City Thunder,,Boston Celtics,,,,
Tue Mar 20 2018,8:00 pm,Los Angeles Clippers,,Minnesota Timberwolves,,,,
Tue Mar 20 2018,8:00 pm,Dallas Mavericks,,New Orleans Pelicans,,,,
Tue Mar 20 2018,7:00 pm,Toronto Raptors,,Orlando Magic,,,,
Tue Mar 20 2018,10:00 pm,Detroit Pistons,,Phoenix Suns,,,,
Tue Mar 20 2018,10:30 pm,Houston Rockets,,Portland Trail Blazers,,,,
Tue Mar 20 2018,9:00 pm,Atlanta Hawks,,Utah Jazz,,,,
Wed Mar 21 2018,7:30 pm,Charlotte Hornets,,Brooklyn Nets,,,,
Wed Mar 21 2018,8:00 pm,Denver Nuggets,,Chicago Bulls,,,,
Wed Mar 21 2018,7:00 pm,Toronto Raptors,,Cleveland Cavaliers,,,,
Wed Mar 21 2018,7:30 pm,New York Knicks,,Miami Heat,,,,
Wed Mar 21 2018,8:00 pm,Los Angeles Clippers,,Milwaukee Bucks,,,,
Wed Mar 21 2018,7:00 pm,Memphis Grizzlies,,Philadelphia 76ers,,,,
Wed Mar 21 2018,9:30 pm,Washington Wizards,,San Antonio Spurs,,,,
Thu Mar 22 2018,7:00 pm,Memphis Grizzlies,,Charlotte Hornets,,,,
Thu Mar 22 2018,8:30 pm,Utah Jazz,,Dallas Mavericks,,,,
Thu Mar 22 2018,8:00 pm,Detroit Pistons,,Houston Rockets,,,,
Thu Mar 22 2018,8:00 pm,Los Angeles Lakers,,New Orleans Pelicans,,,,
Thu Mar 22 2018,7:00 pm,Philadelphia 76ers,,Orlando Magic,,,,
Thu Mar 22 2018,10:00 pm,Atlanta Hawks,,Sacramento Kings,,,,
Fri Mar 23 2018,8:00 pm,Milwaukee Bucks,,Chicago Bulls,,,,
Fri Mar 23 2018,7:30 pm,Phoenix Suns,,Cleveland Cavaliers,,,,
Fri Mar 23 2018,10:30 pm,Atlanta Hawks,,Golden State Warriors,,,,
Fri Mar 23 2018,7:00 pm,Los Angeles Clippers,,Indiana Pacers,,,,
Fri Mar 23 2018,7:30 pm,Minnesota Timberwolves,,New York Knicks,,,,
Fri Mar 23 2018,8:00 pm,Miami Heat,,Oklahoma City Thunder,,,,
Fri Mar 23 2018,10:00 pm,Boston Celtics,,Portland Trail Blazers,,,,
Fri Mar 23 2018,8:30 pm,Utah Jazz,,San Antonio Spurs,,,,
Fri Mar 23 2018,7:30 pm,Brooklyn Nets,,Toronto Raptors,,,,
Fri Mar 23 2018,7:00 pm,Denver Nuggets,,Washington Wizards,,,,
Sat Mar 24 2018,8:30 pm,Charlotte Hornets,,Dallas Mavericks,,,,
Sat Mar 24 2018,7:00 pm,Chicago Bulls,,Detroit Pistons,,,,
Sat Mar 24 2018,8:00 pm,New Orleans Pelicans,,Houston Rockets,,,,
Sat Mar 24 2018,8:00 pm,Los Angeles Lakers,,Memphis Grizzlies,,,,
Sat Mar 24 2018,7:00 pm,Phoenix Suns,,Orlando Magic,,,,
Sat Mar 24 2018,6:00 pm,Minnesota Timberwolves,,Philadelphia 76ers,,,,
Sun Mar 25 2018,1:00 pm,Cleveland Cavaliers,,Brooklyn Nets,,,,
Sun Mar 25 2018,8:30 pm,Utah Jazz,,Golden State Warriors,,,,
Sun Mar 25 2018,8:00 pm,Atlanta Hawks,,Houston Rockets,,,,
Sun Mar 25 2018,5:00 pm,Miami Heat,,Indiana Pacers,,,,
Sun Mar 25 2018,3:30 pm,San Antonio Spurs,,Milwaukee Bucks,,,,
Sun Mar 25 2018,7:00 pm,Portland Trail Blazers,,Oklahoma City Thunder,,,,
Sun Mar 25 2018,6:00 pm,Boston Celtics,,Sacramento Kings,,,,
Sun Mar 25 2018,6:00 pm,Los Angeles Clippers,,Toronto Raptors,,,,
Sun Mar 25 2018,6:00 pm,New York Knicks,,Washington Wizards,,,,
Mon Mar 26 2018,7:00 pm,New York Knicks,,Charlotte Hornets,,,,
Mon Mar 26 2018,7:00 pm,Los Angeles Lakers,,Detroit Pistons,,,,
Mon Mar 26 2018,8:00 pm,Memphis Grizzlies,,Minnesota Timberwolves,,,,
Mon Mar 26 2018,7:00 pm,Denver Nuggets,,Philadelphia 76ers,,,,
Mon Mar 26 2018,10:00 pm,Boston Celtics,,Phoenix Suns,,,,
Tue Mar 27 2018,10:30 pm,Indiana Pacers,,Golden State Warriors,,,,
Tue Mar 27 2018,8:00 pm,Chicago Bulls,,Houston Rockets,,,,
Tue Mar 27 2018,10:30 pm,Milwaukee Bucks,,Los Angeles Clippers,,,,
Tue Mar 27 2018,8:00 pm,Cleveland Cavaliers,,Miami Heat,,,,
Tue Mar 27 2018,8:00 pm,Portland Trail Blazers,,New Orleans Pelicans,,,,
Tue Mar 27 2018,10:00 pm,Dallas Mavericks,,Sacramento Kings,,,,
Tue Mar 27 2018,7:30 pm,Denver Nuggets,,Toronto Raptors,,,,
Tue Mar 27 2018,7:00 pm,San Antonio Spurs,,Washington Wizards,,,,
Wed Mar 28 2018,7:00 pm,Cleveland Cavaliers,,Charlotte Hornets,,,,
Wed Mar 28 2018,10:30 pm,Dallas Mavericks,,Los Angeles Lakers,,,,
Wed Mar 28 2018,8:00 pm,Portland Trail Blazers,,Memphis Grizzlies,,,,
Wed Mar 28 2018,8:00 pm,Atlanta Hawks,,Minnesota Timberwolves,,,,
Wed Mar 28 2018,7:00 pm,Brooklyn Nets,,Orlando Magic,,,,
Wed Mar 28 2018,7:00 pm,New York Knicks,,Philadelphia 76ers,,,,
Wed Mar 28 2018,10:00 pm,Los Angeles Clippers,,Phoenix Suns,,,,
Wed Mar 28 2018,9:30 pm,Boston Celtics,,Utah Jazz,,,,
Thu Mar 29 2018,7:00 pm,Washington Wizards,,Detroit Pistons,,,,
Thu Mar 29 2018,10:30 pm,Milwaukee Bucks,,Golden State Warriors,,,,
Thu Mar 29 2018,7:30 pm,Chicago Bulls,,Miami Heat,,,,
Thu Mar 29 2018,10:00 pm,Indiana Pacers,,Sacramento Kings,,,,
Thu Mar 29 2018,8:00 pm,Oklahoma City Thunder,,San Antonio Spurs,,,,
Fri Mar 30 2018,7:30 pm,Philadelphia 76ers,,Atlanta Hawks,,,,
Fri Mar 30 2018,8:00 pm,New Orleans Pelicans,,Cleveland Cavaliers,,,,
Fri Mar 30 2018,8:30 pm,Minnesota Timberwolves,,Dallas Mavericks,,,,
Fri Mar 30 2018,8:00 pm,Phoenix Suns,,Houston Rockets,,,,
Fri Mar 30 2018,10:30 pm,Milwaukee Bucks,,Los Angeles Lakers,,,,
Fri Mar 30 2018,8:00 pm,Denver Nuggets,,Oklahoma City Thunder,,,,
Fri Mar 30 2018,7:00 pm,Chicago Bulls,,Orlando Magic,,,,
Fri Mar 30 2018,10:30 pm,Los Angeles Clippers,,Portland Trail Blazers,,,,
Fri Mar 30 2018,9:00 pm,Memphis Grizzlies,,Utah Jazz,,,,
Sat Mar 31 2018,7:30 pm,Toronto Raptors,,Boston Celtics,,,,
Sat Mar 31 2018,8:00 pm,Brooklyn Nets,,Miami Heat,,,,
Sat Mar 31 2018,5:00 pm,Detroit Pistons,,New York Knicks,,,,
Sat Mar 31 2018,10:00 pm,Golden State Warriors,,Sacramento Kings,,,,
Sat Mar 31 2018,3:00 pm,Charlotte Hornets,,Washington Wizards,,,,
Sun Apr 1 2018,6:00 pm,Orlando Magic,,Atlanta Hawks,,,,
Sun Apr 1 2018,6:00 pm,Detroit Pistons,,Brooklyn Nets,,,,
Sun Apr 1 2018,3:30 pm,Washington Wizards,,Chicago Bulls,,,,
Sun Apr 1 2018,1:00 pm,Philadelphia 76ers,,Charlotte Hornets,,,,
Sun Apr 1 2018,6:00 pm,Dallas Mavericks,,Cleveland Cavaliers,,,,
Sun Apr 1 2018,8:00 pm,Milwaukee Bucks,,Denver Nuggets,,,,
Sun Apr 1 2018,8:30 pm,Phoenix Suns,,Golden State Warriors,,,,
Sun Apr 1 2018,3:30 pm,Indiana Pacers,,Los Angeles Clippers,,,,
Sun Apr 1 2018,9:30 pm,Sacramento Kings,,Los Angeles Lakers,,,,
Sun Apr 1 2018,7:00 pm,Utah Jazz,,Minnesota Timberwolves,,,,
Sun Apr 1 2018,6:00 pm,Oklahoma City Thunder,,New Orleans Pelicans,,,,
Sun Apr 1 2018,9:00 pm,Memphis Grizzlies,,Portland Trail Blazers,,,,
Sun Apr 1 2018,3:30 pm,Houston Rockets,,San Antonio Spurs,,,,
Tue Apr 3 2018,8:00 pm,Charlotte Hornets,,Chicago Bulls,,,,
Tue Apr 3 2018,7:00 pm,Toronto Raptors,,Cleveland Cavaliers,,,,
Tue Apr 3 2018,8:30 pm,Portland Trail Blazers,,Dallas Mavericks,,,,
Tue Apr 3 2018,9:00 pm,Indiana Pacers,,Denver Nuggets,,,,
Tue Apr 3 2018,8:00 pm,Washington Wizards,,Houston Rockets,,,,
Tue Apr 3 2018,10:30 pm,San Antonio Spurs,,Los Angeles Clippers,,,,
Tue Apr 3 2018,7:30 pm,Atlanta Hawks,,Miami Heat,,,,
Tue Apr 3 2018,8:00 pm,Boston Celtics,,Milwaukee Bucks,,,,
Tue Apr 3 2018,7:30 pm,Orlando Magic,,New York Knicks,,,,
Tue Apr 3 2018,8:00 pm,Golden State Warriors,,Oklahoma City Thunder,,,,
Tue Apr 3 2018,7:00 pm,Brooklyn Nets,,Philadelphia 76ers,,,,
Tue Apr 3 2018,10:00 pm,Sacramento Kings,,Phoenix Suns,,,,
Tue Apr 3 2018,9:00 pm,Los Angeles Lakers,,Utah Jazz,,,,
Wed Apr 4 2018,7:30 pm,Miami Heat,,Atlanta Hawks,,,,
Wed Apr 4 2018,7:00 pm,Philadelphia 76ers,,Detroit Pistons,,,,
Wed Apr 4 2018,10:30 pm,San Antonio Spurs,,Los Angeles Lakers,,,,
Wed Apr 4 2018,9:30 pm,Memphis Grizzlies,,New Orleans Pelicans,,,,
Wed Apr 4 2018,7:00 pm,Dallas Mavericks,,Orlando Magic,,,,
Wed Apr 4 2018,7:00 pm,Boston Celtics,,Toronto Raptors,,,,
Thu Apr 5 2018,8:00 pm,Washington Wizards,,Cleveland Cavaliers,,,,
Thu Apr 5 2018,10:30 pm,Minnesota Timberwolves,,Denver Nuggets,,,,
Thu Apr 5 2018,8:00 pm,Portland Trail Blazers,,Houston Rockets,,,,
Thu Apr 5 2018,7:00 pm,Golden State Warriors,,Indiana Pacers,,,,
Thu Apr 5 2018,8:00 pm,Brooklyn Nets,,Milwaukee Bucks,,,,
Thu Apr 5 2018,9:00 pm,Los Angeles Clippers,,Utah Jazz,,,,
Fri Apr 6 2018,7:30 pm,Chicago Bulls,,Boston Celtics,,,,
Fri Apr 6 2018,7:00 pm,Dallas Mavericks,,Detroit Pistons,,,,
Fri Apr 6 2018,10:30 pm,Minnesota Timberwolves,,Los Angeles Lakers,,,,
Fri Apr 6 2018,8:00 pm,Sacramento Kings,,Memphis Grizzlies,,,,
Fri Apr 6 2018,7:30 pm,Miami Heat,,New York Knicks,,,,
Fri Apr 6 2018,7:00 pm,Charlotte Hornets,,Orlando Magic,,,,
Fri Apr 6 2018,7:00 pm,Cleveland Cavaliers,,Philadelphia 76ers,,,,
Fri Apr 6 2018,10:00 pm,New Orleans Pelicans,,Phoenix Suns,,,,
Fri Apr 6 2018,7:30 pm,Indiana Pacers,,Toronto Raptors,,,,
Fri Apr 6 2018,7:00 pm,Atlanta Hawks,,Washington Wizards,,,,
Sat Apr 7 2018,8:00 pm,Brooklyn Nets,,Chicago Bulls,,,,
Sat Apr 7 2018,8:30 pm,New Orleans Pelicans,,Golden State Warriors,,,,
Sat Apr 7 2018,8:30 pm,Oklahoma City Thunder,,Houston Rockets,,,,
Sat Apr 7 2018,3:30 pm,Denver Nuggets,,Los Angeles Clippers,,,,
Sat Apr 7 2018,7:30 pm,Milwaukee Bucks,,New York Knicks,,,,
Sat Apr 7 2018,9:00 pm,Portland Trail Blazers,,San Antonio Spurs,,,,
Sun Apr 8 2018,7:30 pm,Atlanta Hawks,,Boston Celtics,,,,
Sun Apr 8 2018,1:00 pm,Indiana Pacers,,Charlotte Hornets,,,,
Sun Apr 8 2018,6:00 pm,Utah Jazz,,Los Angeles Lakers,,,,
Sun Apr 8 2018,3:30 pm,Detroit Pistons,,Memphis Grizzlies,,,,
Sun Apr 8 2018,1:00 pm,Dallas Mavericks,,Philadelphia 76ers,,,,
Sun Apr 8 2018,9:00 pm,Golden State Warriors,,Phoenix Suns,,,,
Sun Apr 8 2018,6:00 pm,Orlando Magic,,Toronto Raptors,,,,
Mon Apr 9 2018,7:30 pm,Chicago Bulls,,Brooklyn Nets,,,,
Mon Apr 9 2018,9:00 pm,Portland Trail Blazers,,Denver Nuggets,,,,
Mon Apr 9 2018,7:00 pm,Toronto Raptors,,Detroit Pistons,,,,
Mon Apr 9 2018,10:30 pm,New Orleans Pelicans,,Los Angeles Clippers,,,,
Mon Apr 9 2018,7:30 pm,Oklahoma City Thunder,,Miami Heat,,,,
Mon Apr 9 2018,8:00 pm,Orlando Magic,,Milwaukee Bucks,,,,
Mon Apr 9 2018,8:00 pm,Memphis Grizzlies,,Minnesota Timberwolves,,,,
Mon Apr 9 2018,7:30 pm,Cleveland Cavaliers,,New York Knicks,,,,
Mon Apr 9 2018,8:30 pm,Sacramento Kings,,San Antonio Spurs,,,,
Tue Apr 10 2018,7:30 pm,Philadelphia 76ers,,Atlanta Hawks,,,,
Tue Apr 10 2018,8:30 pm,Phoenix Suns,,Dallas Mavericks,,,,
Tue Apr 10 2018,7:00 pm,Charlotte Hornets,,Indiana Pacers,,,,
Tue Apr 10 2018,10:30 pm,Houston Rockets,,Los Angeles Lakers,,,,
Tue Apr 10 2018,9:00 pm,Golden State Warriors,,Utah Jazz,,,,
Tue Apr 10 2018,8:00 pm,Boston Celtics,,Washington Wizards,,,,
Wed Apr 11 2018,8:00 pm,Brooklyn Nets,,Boston Celtics,,,,
Wed Apr 11 2018,8:00 pm,Detroit Pistons,,Chicago Bulls,,,,
Wed Apr 11 2018,8:00 pm,New York Knicks,,Cleveland Cavaliers,,,,
Wed Apr 11 2018,10:30 pm,Los Angeles Lakers,,Los Angeles Clippers,,,,
Wed Apr 11 2018,8:00 pm,Toronto Raptors,,Miami Heat,,,,
Wed Apr 11 2018,8:00 pm,Denver Nuggets,,Minnesota Timberwolves,,,,
Wed Apr 11 2018,8:00 pm,San Antonio Spurs,,New Orleans Pelicans,,,,
Wed Apr 11 2018,8:00 pm,Memphis Grizzlies,,Oklahoma City Thunder,,,,
Wed Apr 11 2018,8:00 pm,Washington Wizards,,Orlando Magic,,,,
Wed Apr 11 2018,8:00 pm,Milwaukee Bucks,,Philadelphia 76ers,,,,
Wed Apr 11 2018,10:30 pm,Utah Jazz,,Portland Trail Blazers,,,,
Wed Apr 11 2018,10:30 pm,Houston Rockets,,Sacramento Kings,,,,
